Story,OutputCase,CaseType,StepType,StepNumber,Direction,Drift,Label,X,Y,Z
Story16,SEx_b2,LinRespSpec,Max,None,Y,0.000845,22,38.505,13.821,42.4
Story16,SEy_b2,LinRespSpec,Max,None,Y,0.001066,2,0,6.446,42.4
Story16,ED1_C1_1.4CP,Combination,None,None,Y,0.000175,2,0,6.446,42.4
Story16,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Y,0.000217,2,0,6.446,42.4
Story16,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Y,0.000194,2,0,6.446,42.4
Story16,ED1_DYN_XP,Combination,Max,None,X,0.001412,15,27.834,0,42.4
Story16,ED1_DYN_XP,Combination,Max,None,Y,0.001283,22,38.505,13.821,42.4
Story16,ED1_DYN_XP,Combination,Min,None,X,0.001353,15,27.834,0,42.4
Story16,ED1_DYN_XP,Combination,Min,None,Y,0.001408,2,0,6.446,42.4
Story16,ED1_DYN_XN,Combination,Max,None,X,0.001412,15,27.834,0,42.4
Story16,ED1_DYN_XN,Combination,Max,None,Y,0.001283,22,38.505,13.821,42.4
Story16,ED1_DYN_XN,Combination,Min,None,X,0.001353,15,27.834,0,42.4
Story16,ED1_DYN_XN,Combination,Min,None,Y,0.001408,2,0,6.446,42.4
Story16,ED1_DYN_YP,Combination,Max,None,X,0.00022,53,25.115,13.821,42.4
Story16,ED1_DYN_YP,Combination,Max,None,Y,0.001703,2,0,6.446,42.4
Story16,ED1_DYN_YP,Combination,Min,None,X,0.000275,53,25.115,13.821,42.4
Story16,ED1_DYN_YP,Combination,Min,None,Y,0.002086,2,0,6.446,42.4
Story16,ED1_DYN_YN,Combination,Max,None,X,0.00022,53,25.115,13.821,42.4
Story16,ED1_DYN_YN,Combination,Max,None,Y,0.001703,2,0,6.446,42.4
Story16,ED1_DYN_YN,Combination,Min,None,X,0.000275,53,25.115,13.821,42.4
Story16,ED1_DYN_YN,Combination,Min,None,Y,0.002086,2,0,6.446,42.4
Story16,ED1_DYN_09_XP,Combination,Max,None,X,0.0014,15,27.834,0,42.4
Story16,ED1_DYN_09_XP,Combination,Max,None,Y,0.001296,22,38.505,13.821,42.4
Story16,ED1_DYN_09_XP,Combination,Min,None,X,0.001365,15,27.834,0,42.4
Story16,ED1_DYN_09_XP,Combination,Min,None,Y,0.001337,22,38.505,13.821,42.4
Story16,ED1_DYN_09_XN,Combination,Max,None,X,0.0014,15,27.834,0,42.4
Story16,ED1_DYN_09_XN,Combination,Max,None,Y,0.001296,22,38.505,13.821,42.4
Story16,ED1_DYN_09_XN,Combination,Min,None,X,0.001365,15,27.834,0,42.4
Story16,ED1_DYN_09_XN,Combination,Min,None,Y,0.001337,22,38.505,13.821,42.4
Story16,ED1_DYN_09_YP,Combination,Max,None,X,0.000231,53,25.115,13.821,42.4
Story16,ED1_DYN_09_YP,Combination,Max,None,Y,0.001782,2,0,6.446,42.4
Story16,ED1_DYN_09_YP,Combination,Min,None,X,0.000263,53,25.115,13.821,42.4
Story16,ED1_DYN_09_YP,Combination,Min,None,Y,0.002007,2,0,6.446,42.4
Story16,ED1_DYN_09_YN,Combination,Max,None,X,0.000231,53,25.115,13.821,42.4
Story16,ED1_DYN_09_YN,Combination,Max,None,Y,0.001782,2,0,6.446,42.4
Story16,ED1_DYN_09_YN,Combination,Min,None,X,0.000263,53,25.115,13.821,42.4
Story16,ED1_DYN_09_YN,Combination,Min,None,Y,0.002007,2,0,6.446,42.4
Story15,Dead,LinStatic,None,None,Y,9.8E-05,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,1,X,4.827E-07,15,27.834,0,39.8
Story15,MODAL,LinModEigen,Mode,2,Y,1E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,3,X,4.652E-07,53,25.115,13.821,39.8
Story15,MODAL,LinModEigen,Mode,3,Y,1E-06,22,38.505,13.821,39.8
Story15,MODAL,LinModEigen,Mode,4,X,1E-06,15,27.834,0,39.8
Story15,MODAL,LinModEigen,Mode,5,Y,1E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,6,X,1E-06,53,25.115,13.821,39.8
Story15,MODAL,LinModEigen,Mode,6,Y,2E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,7,X,1E-06,15,27.834,0,39.8
Story15,MODAL,LinModEigen,Mode,8,Y,1E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,9,X,1E-06,53,25.115,13.821,39.8
Story15,MODAL,LinModEigen,Mode,9,Y,1E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,10,X,1E-06,15,27.834,0,39.8
Story15,MODAL,LinModEigen,Mode,11,Y,1E-06,2,0,6.446,39.8
Story15,MODAL,LinModEigen,Mode,12,X,1E-06,53,25.115,13.821,39.8
Story15,PP,LinStatic,None,None,Y,9.8E-05,2,0,6.446,39.8
Story15,TERP,LinStatic,None,None,Y,2.2E-05,2,0,6.446,39.8
Story15,TERT,LinStatic,None,None,Y,1E-06,2,0,6.446,39.8
Story15,SCP,LinStatic,None,None,Y,4E-05,2,0,6.446,39.8
Story15,SCT,LinStatic,None,None,Y,1E-06,2,0,6.446,39.8
Story15,SEx,LinRespSpec,Max,None,X,0.000996,15,27.834,0,39.8
Story15,SEx,LinRespSpec,Max,None,Y,0.000939,22,38.505,13.821,39.8
Story15,SEy,LinRespSpec,Max,None,X,0.000177,53,25.115,13.821,39.8
Story15,SEy,LinRespSpec,Max,None,Y,0.001348,2,0,6.446,39.8
Story15,SEx_b2,LinRespSpec,Max,None,X,0.000955,15,27.834,0,39.8
Story15,SEx_b2,LinRespSpec,Max,None,Y,0.000843,22,38.505,13.821,39.8
Story15,SEy_b2,LinRespSpec,Max,None,Y,0.001062,2,0,6.446,39.8
Story15,ED1_C1_1.4CP,Combination,None,None,Y,0.00017,2,0,6.446,39.8
Story15,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Y,0.000211,2,0,6.446,39.8
Story15,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Y,0.000188,2,0,6.446,39.8
Story15,ED1_DYN_XP,Combination,Max,None,X,0.001423,15,27.834,0,39.8
Story15,ED1_DYN_XP,Combination,Max,None,Y,0.001282,22,38.505,13.821,39.8
Story15,ED1_DYN_XP,Combination,Min,None,X,0.001366,15,27.834,0,39.8
Story15,ED1_DYN_XP,Combination,Min,None,Y,0.0014,2,0,6.446,39.8
Story15,ED1_DYN_XN,Combination,Max,None,X,0.001423,15,27.834,0,39.8
Story15,ED1_DYN_XN,Combination,Max,None,Y,0.001282,22,38.505,13.821,39.8
Story15,ED1_DYN_XN,Combination,Min,None,X,0.001366,15,27.834,0,39.8
Story15,ED1_DYN_XN,Combination,Min,None,Y,0.0014,2,0,6.446,39.8
Story15,ED1_DYN_YP,Combination,Max,None,X,0.00022,53,25.115,13.821,39.8
Story15,ED1_DYN_YP,Combination,Max,None,Y,0.001701,2,0,6.446,39.8
Story15,ED1_DYN_YP,Combination,Min,None,X,0.000274,53,25.115,13.821,39.8
Story15,ED1_DYN_YP,Combination,Min,None,Y,0.002074,2,0,6.446,39.8
Story15,ED1_DYN_YN,Combination,Max,None,X,0.00022,53,25.115,13.821,39.8
Story15,ED1_DYN_YN,Combination,Max,None,Y,0.001701,2,0,6.446,39.8
Story15,ED1_DYN_YN,Combination,Min,None,X,0.000274,53,25.115,13.821,39.8
Story15,ED1_DYN_YN,Combination,Min,None,Y,0.002074,2,0,6.446,39.8
Story15,ED1_DYN_09_XP,Combination,Max,None,X,0.001411,15,27.834,0,39.8
Story15,ED1_DYN_09_XP,Combination,Max,None,Y,0.001295,22,38.505,13.821,39.8
Story15,ED1_DYN_09_XP,Combination,Min,None,X,0.001378,15,27.834,0,39.8
Story15,ED1_DYN_09_XP,Combination,Min,None,Y,0.001334,22,38.505,13.821,39.8
Story15,ED1_DYN_09_XN,Combination,Max,None,X,0.001411,15,27.834,0,39.8
Story15,ED1_DYN_09_XN,Combination,Max,None,Y,0.001295,22,38.505,13.821,39.8
Story15,ED1_DYN_09_XN,Combination,Min,None,X,0.001378,15,27.834,0,39.8
Story15,ED1_DYN_09_XN,Combination,Min,None,Y,0.001334,22,38.505,13.821,39.8
Story15,ED1_DYN_09_YP,Combination,Max,None,X,0.000232,53,25.115,13.821,39.8
Story15,ED1_DYN_09_YP,Combination,Max,None,Y,0.001778,2,0,6.446,39.8
Story15,ED1_DYN_09_YP,Combination,Min,None,X,0.000263,53,25.115,13.821,39.8
Story15,ED1_DYN_09_YP,Combination,Min,None,Y,0.001997,2,0,6.446,39.8
Story15,ED1_DYN_09_YN,Combination,Max,None,X,0.000232,53,25.115,13.821,39.8
Story15,ED1_DYN_09_YN,Combination,Max,None,Y,0.001778,2,0,6.446,39.8
Story15,ED1_DYN_09_YN,Combination,Min,None,X,0.000263,53,25.115,13.821,39.8
Story15,ED1_DYN_09_YN,Combination,Min,None,Y,0.001997,2,0,6.446,39.8
Story14,Dead,LinStatic,None,None,Y,9.5E-05,2,0,6.446,37.2
Story14,MODAL,LinModEigen,Mode,1,X,4.851E-07,15,27.834,0,37.2
Story14,MODAL,LinModEigen,Mode,2,Y,1E-06,2,0,6.446,37.2
Story14,MODAL,LinModEigen,Mode,3,X,4.673E-07,53,25.115,13.821,37.2
Story14,MODAL,LinModEigen,Mode,3,Y,1E-06,22,38.505,13.821,37.2
Story14,MODAL,LinModEigen,Mode,4,X,1E-06,15,27.834,0,37.2
Story14,MODAL,LinModEigen,Mode,5,Y,1E-06,2,0,6.446,37.2
Story14,MODAL,LinModEigen,Mode,6,X,1E-06,53,25.115,13.821,37.2
Story14,MODAL,LinModEigen,Mode,6,Y,2E-06,2,0,6.446,37.2
Story14,MODAL,LinModEigen,Mode,7,X,5.195E-08,15,27.834,0,37.2
Story14,MODAL,LinModEigen,Mode,8,Y,5.118E-08,22,38.505,13.821,37.2
Story14,MODAL,LinModEigen,Mode,9,X,4.498E-08,15,27.834,0,37.2
Story14,MODAL,LinModEigen,Mode,9,Y,1.202E-07,22,38.505,13.821,37.2
Story14,MODAL,LinModEigen,Mode,10,X,3E-06,15,27.834,0,37.2
Story14,MODAL,LinModEigen,Mode,11,Y,2E-06,2,0,6.446,37.2
Story14,MODAL,LinModEigen,Mode,12,X,2E-06,53,25.115,13.821,37.2
Story14,PP,LinStatic,None,None,Y,9.5E-05,2,0,6.446,37.2
Story14,TERP,LinStatic,None,None,Y,2.2E-05,2,0,6.446,37.2
Story14,TERT,LinStatic,None,None,Y,1E-06,2,0,6.446,37.2
Story14,SCP,LinStatic,None,None,Y,3.9E-05,2,0,6.446,37.2
Story14,SCT,LinStatic,None,None,Y,1E-06,2,0,6.446,37.2
Story14,SEx,LinRespSpec,Max,None,X,0.001,15,27.834,0,37.2
Story14,SEx,LinRespSpec,Max,None,Y,0.000933,22,38.505,13.821,37.2
Story14,SEy,LinRespSpec,Max,None,X,0.000176,53,25.115,13.821,37.2
Story14,SEy,LinRespSpec,Max,None,Y,0.001336,2,0,6.446,37.2
Story14,SEx_b2,LinRespSpec,Max,None,X,0.000959,15,27.834,0,37.2
Story14,SEx_b2,LinRespSpec,Max,None,Y,0.000838,22,38.505,13.821,37.2
Story14,SEy_b2,LinRespSpec,Max,None,Y,0.001053,2,0,6.446,37.2
Story14,ED1_C1_1.4CP,Combination,None,None,Y,0.000165,2,0,6.446,37.2
Story14,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Y,0.000204,2,0,6.446,37.2
Story14,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Y,0.000182,2,0,6.446,37.2
Story14,ED1_DYN_XP,Combination,Max,None,X,0.001427,15,27.834,0,37.2
Story14,ED1_DYN_XP,Combination,Max,None,Y,0.001275,22,38.505,13.821,37.2
Story14,ED1_DYN_XP,Combination,Min,None,X,0.001373,15,27.834,0,37.2
Story14,ED1_DYN_XP,Combination,Min,None,Y,0.001385,2,0,6.446,37.2
Story14,ED1_DYN_XN,Combination,Max,None,X,0.001427,15,27.834,0,37.2
Story14,ED1_DYN_XN,Combination,Max,None,Y,0.001275,22,38.505,13.821,37.2
Story14,ED1_DYN_XN,Combination,Min,None,X,0.001373,15,27.834,0,37.2
Story14,ED1_DYN_XN,Combination,Min,None,Y,0.001385,2,0,6.446,37.2
Story14,ED1_DYN_YP,Combination,Max,None,X,0.00022,53,25.115,13.821,37.2
Story14,ED1_DYN_YP,Combination,Max,None,Y,0.001691,2,0,6.446,37.2
Story14,ED1_DYN_YP,Combination,Min,None,X,0.000272,53,25.115,13.821,37.2
Story14,ED1_DYN_YP,Combination,Min,None,Y,0.002051,2,0,6.446,37.2
Story14,ED1_DYN_YN,Combination,Max,None,X,0.00022,53,25.115,13.821,37.2
Story14,ED1_DYN_YN,Combination,Max,None,Y,0.001691,2,0,6.446,37.2
Story14,ED1_DYN_YN,Combination,Min,None,X,0.000272,53,25.115,13.821,37.2
Story14,ED1_DYN_YN,Combination,Min,None,Y,0.002051,2,0,6.446,37.2
Story14,ED1_DYN_09_XP,Combination,Max,None,X,0.001416,15,27.834,0,37.2
Story14,ED1_DYN_09_XP,Combination,Max,None,Y,0.001287,22,38.505,13.821,37.2
Story14,ED1_DYN_09_XP,Combination,Min,None,X,0.001384,15,27.834,0,37.2
Story14,ED1_DYN_09_XP,Combination,Min,None,Y,0.001324,22,38.505,13.821,37.2
Story14,ED1_DYN_09_XN,Combination,Max,None,X,0.001416,15,27.834,0,37.2
Story14,ED1_DYN_09_XN,Combination,Max,None,Y,0.001287,22,38.505,13.821,37.2
Story14,ED1_DYN_09_XN,Combination,Min,None,X,0.001384,15,27.834,0,37.2
Story14,ED1_DYN_09_XN,Combination,Min,None,Y,0.001324,22,38.505,13.821,37.2
Story14,ED1_DYN_09_YP,Combination,Max,None,X,0.000231,53,25.115,13.821,37.2
Story14,ED1_DYN_09_YP,Combination,Max,None,Y,0.001765,2,0,6.446,37.2
Story14,ED1_DYN_09_YP,Combination,Min,None,X,0.000261,53,25.115,13.821,37.2
Story14,ED1_DYN_09_YP,Combination,Min,None,Y,0.001977,2,0,6.446,37.2
Story14,ED1_DYN_09_YN,Combination,Max,None,X,0.000231,53,25.115,13.821,37.2
Story14,ED1_DYN_09_YN,Combination,Max,None,Y,0.001765,2,0,6.446,37.2
Story14,ED1_DYN_09_YN,Combination,Min,None,X,0.000261,53,25.115,13.821,37.2
Story14,ED1_DYN_09_YN,Combination,Min,None,Y,0.001977,2,0,6.446,37.2
Story13,Dead,LinStatic,None,None,Y,9.1E-05,2,0,6.446,34.6
Story13,MODAL,LinModEigen,Mode,1,X,4.848E-07,15,27.834,0,34.6
Story13,MODAL,LinModEigen,Mode,2,Y,1E-06,2,0,6.446,34.6
Story13,MODAL,LinModEigen,Mode,3,X,4.667E-07,53,25.115,13.821,34.6
Story13,MODAL,LinModEigen,Mode,3,Y,1E-06,22,38.505,13.821,34.6
Story13,MODAL,LinModEigen,Mode,4,X,1E-06,15,27.834,0,34.6
Story13,MODAL,LinModEigen,Mode,5,Y,1E-06,2,0,6.446,34.6
Story13,MODAL,LinModEigen,Mode,6,X,1E-06,53,25.115,13.821,34.6
Story13,MODAL,LinModEigen,Mode,6,Y,1E-06,2,0,6.446,34.6
Story13,MODAL,LinModEigen,Mode,7,X,1E-06,15,27.834,0,34.6
Story13,MODAL,LinModEigen,Mode,8,Y,1E-06,2,0,6.446,34.6
Story13,MODAL,LinModEigen,Mode,9,X,1E-06,53,25.115,13.821,34.6
Story13,MODAL,LinModEigen,Mode,9,Y,1E-06,2,0,6.446,34.6
Story13,MODAL,LinModEigen,Mode,10,X,3E-06,15,27.834,0,34.6
Story13,MODAL,LinModEigen,Mode,11,Y,3E-06,2,0,6.446,34.6
Story13,MODAL,LinModEigen,Mode,12,X,2E-06,53,25.115,13.821,34.6
Story13,PP,LinStatic,None,None,Y,9.1E-05,2,0,6.446,34.6
Story13,TERP,LinStatic,None,None,Y,2.1E-05,2,0,6.446,34.6
Story13,TERT,LinStatic,None,None,Y,1E-06,2,0,6.446,34.6
Story13,SCP,LinStatic,None,None,Y,3.7E-05,2,0,6.446,34.6
Story13,SCT,LinStatic,None,None,Y,1E-06,2,0,6.446,34.6
Story13,SEx,LinRespSpec,Max,None,X,0.000998,15,27.834,0,34.6
Story13,SEx,LinRespSpec,Max,None,Y,0.000921,22,38.505,13.821,34.6
Story13,SEy,LinRespSpec,Max,None,X,0.000174,53,25.115,13.821,34.6
Story13,SEy,LinRespSpec,Max,None,Y,0.001317,2,0,6.446,34.6
Story13,SEx_b2,LinRespSpec,Max,None,X,0.000958,15,27.834,0,34.6
Story13,SEx_b2,LinRespSpec,Max,None,Y,0.000828,22,38.505,13.821,34.6
Story13,SEy_b2,LinRespSpec,Max,None,Y,0.001038,2,0,6.446,34.6
Story13,ED1_C1_1.4CP,Combination,None,None,Y,0.000158,2,0,6.446,34.6
Story13,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Y,0.000196,2,0,6.446,34.6
Story13,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Y,0.000175,2,0,6.446,34.6
Story13,ED1_DYN_XP,Combination,Max,None,X,0.001424,15,27.834,0,34.6
Story13,ED1_DYN_XP,Combination,Max,None,Y,0.00126,22,38.505,13.821,34.6
Story13,ED1_DYN_XP,Combination,Min,None,X,0.001371,15,27.834,0,34.6
Story13,ED1_DYN_XP,Combination,Min,None,Y,0.001362,2,0,6.446,34.6
Story13,ED1_DYN_XN,Combination,Max,None,X,0.001424,15,27.834,0,34.6
Story13,ED1_DYN_XN,Combination,Max,None,Y,0.00126,22,38.505,13.821,34.6
Story13,ED1_DYN_XN,Combination,Min,None,X,0.001371,15,27.834,0,34.6
Story13,ED1_DYN_XN,Combination,Min,None,Y,0.001362,2,0,6.446,34.6
Story13,ED1_DYN_YP,Combination,Max,None,X,0.000218,53,25.115,13.821,34.6
Story13,ED1_DYN_YP,Combination,Max,None,Y,0.001671,2,0,6.446,34.6
Story13,ED1_DYN_YP,Combination,Min,None,X,0.000269,53,25.115,13.821,34.6
Story13,ED1_DYN_YP,Combination,Min,None,Y,0.002017,2,0,6.446,34.6
Story13,ED1_DYN_YN,Combination,Max,None,X,0.000218,53,25.115,13.821,34.6
Story13,ED1_DYN_YN,Combination,Max,None,Y,0.001671,2,0,6.446,34.6
Story13,ED1_DYN_YN,Combination,Min,None,X,0.000269,53,25.115,13.821,34.6
Story13,ED1_DYN_YN,Combination,Min,None,Y,0.002017,2,0,6.446,34.6
Story13,ED1_DYN_09_XP,Combination,Max,None,X,0.001413,15,27.834,0,34.6
Story13,ED1_DYN_09_XP,Combination,Max,None,Y,0.001272,22,38.505,13.821,34.6
Story13,ED1_DYN_09_XP,Combination,Min,None,X,0.001382,15,27.834,0,34.6
Story13,ED1_DYN_09_XP,Combination,Min,None,Y,0.001307,22,38.505,13.821,34.6
Story13,ED1_DYN_09_XN,Combination,Max,None,X,0.001413,15,27.834,0,34.6
Story13,ED1_DYN_09_XN,Combination,Max,None,Y,0.001272,22,38.505,13.821,34.6
Story13,ED1_DYN_09_XN,Combination,Min,None,X,0.001382,15,27.834,0,34.6
Story13,ED1_DYN_09_XN,Combination,Min,None,Y,0.001307,22,38.505,13.821,34.6
Story13,ED1_DYN_09_YP,Combination,Max,None,X,0.000229,53,25.115,13.821,34.6
Story13,ED1_DYN_09_YP,Combination,Max,None,Y,0.001742,2,0,6.446,34.6
Story13,ED1_DYN_09_YP,Combination,Min,None,X,0.000258,53,25.115,13.821,34.6
Story13,ED1_DYN_09_YP,Combination,Min,None,Y,0.001945,2,0,6.446,34.6
Story13,ED1_DYN_09_YN,Combination,Max,None,X,0.000229,53,25.115,13.821,34.6
Story13,ED1_DYN_09_YN,Combination,Max,None,Y,0.001742,2,0,6.446,34.6
Story13,ED1_DYN_09_YN,Combination,Min,None,X,0.000258,53,25.115,13.821,34.6
Story13,ED1_DYN_09_YN,Combination,Min,None,Y,0.001945,2,0,6.446,34.6
Story12,Dead,LinStatic,None,None,Y,8.7E-05,2,0,6.446,32
Story12,MODAL,LinModEigen,Mode,1,X,4.812E-07,15,27.834,0,32
Story12,MODAL,LinModEigen,Mode,2,Y,1E-06,2,0,6.446,32
Story12,MODAL,LinModEigen,Mode,3,X,4.63E-07,53,25.115,13.821,32
Story12,MODAL,LinModEigen,Mode,3,Y,1E-06,22,38.505,13.821,32
Story12,MODAL,LinModEigen,Mode,4,X,1E-06,15,27.834,0,32
Story12,MODAL,LinModEigen,Mode,5,Y,1E-06,2,0,6.446,32
Story12,MODAL,LinModEigen,Mode,6,X,1E-06,53,25.115,13.821,32
Story12,MODAL,LinModEigen,Mode,7,X,2E-06,15,27.834,0,32
Story12,MODAL,LinModEigen,Mode,8,Y,1E-06,2,0,6.446,32
Story12,MODAL,LinModEigen,Mode,9,X,1E-06,53,25.115,13.821,32
Story12,MODAL,LinModEigen,Mode,9,Y,2E-06,2,0,6.446,32
Story12,MODAL,LinModEigen,Mode,10,X,3E-06,15,27.834,0,32
